Time,Demand_Percentage(%),Prediction_Horizon(min),CAV_Penetration(%),Eco_Routing_with_Travel_Time(0/1),Vehicle_Fleet,Overall_Travel_Time_Avg(s),Overall_Fuel_Used(gallon),Overall_Electricity_Used(kWh),Overall_Fuel_Cost($),Overall_Electricity_Cost($),Total_Number_of_Vehicles,Travel_Time_ICE_Avg(s),Travel_Time_ICE_NONCAV_Avg(s),Travel_Time_BEV_Avg(s),Travel_Time_BEV_NONCAV_Avg(s),Travel_Time_PHEV_Avg(s),Travel_Time_PHEV_NONCAV_Avg(s),Travel_Time_HFCV_Avg(s),Travel_Time_HFCV_NONCAV_Avg(s),Fuel_Used_ICE_Avg(gallon),Fuel_Used_ICE_NONCAV_Avg(gallon),Fuel_Used_BEV_Avg(gallon),Fuel_Used_BEV_NONCAV_Avg(gallon),Fuel_Used_PHEV_Avg(gallon),Fuel_Used_PHEV_NONCAV_Avg(gallon),Fuel_Used_HFCV_Avg(gallon),Fuel_Used_HFCV_NONCAV_Avg(gallon),Electricity_Used_ICE_Avg(kWh),Electricity_Used_ICE_NONCAV_Avg(kWh),Electricity_Used_BEV_Avg(kWh),Electricity_Used_BEV_NONCAV_Avg(kWh),Electricity_Used_PHEV_Avg(kWh),Electricity_Used_PHEV_NONCAV_Avg(kWh),Electricity_Used_HFCV_Avg(kWh),Electricity_Used_HFCV_NONCAV_Avg(kWh),Vehicle_Count_ICE,Vehicle_Count_ICE_NONCAV,Vehicle_Count_BEV,Vehicle_Count_BEV_NONCAV,Vehicle_Count_PHEV,Vehicle_Count_PHEV_NONCAV,Vehicle_Count_HFCV,Vehicle_Count_HFCV_NONCAV,Overall_Fuel_Used(gallon)_After1hour,Overall_Electricity_Used(kWh)_After1hour,Overall_Fuel_Cost($)_After1hour,Overall_Electricity_Cost($)_After1hour,Total_Number_of_Vehicles_After1hour,Travel_Time_ICE_Avg(s)_After1hour,Travel_Time_ICE_NONCAV_Avg(s)_After1hour,Travel_Time_BEV_Avg(s)_After1hour,Travel_Time_BEV_NONCAV_Avg(s)_After1hour,Travel_Time_PHEV_Avg(s)_After1hour,Travel_Time_PHEV_NONCAV_Avg(s)_After1hour,Travel_Time_HFCV_Avg(s)_After1hour,Travel_Time_HFCV_NONCAV_Avg(s)_After1hour,Fuel_Used_ICE_Avg(gallon)_After1hour,Fuel_Used_ICE_NONCAV_Avg(gallon)_After1hour,Fuel_Used_BEV_Avg(gallon)_After1hour,Fuel_Used_BEV_NONCAV_Avg(gallon)_After1hour,Fuel_Used_PHEV_Avg(gallon)_After1hour,Fuel_Used_PHEV_NONCAV_Avg(gallon)_After1hour,Fuel_Used_HFCV_Avg(gallon)_After1hour,Fuel_Used_HFCV_NONCAV_Avg(gallon)_After1hour,Electricity_Used_ICE_Avg(kWh)_After1hour,Electricity_Used_ICE_NONCAV_Avg(kWh)_After1hour,Electricity_Used_BEV_Avg(kWh)_After1hour,Electricity_Used_BEV_NONCAV_Avg(kWh)_After1hour,Electricity_Used_PHEV_Avg(kWh)_After1hour,Electricity_Used_PHEV_NONCAV_Avg(kWh)_After1hour,Electricity_Used_HFCV_Avg(kWh)_After1hour,Electricity_Used_HFCV_NONCAV_Avg(kWh)_After1hour,Vehicle_Count_ICE_After1hour,Vehicle_Count_ICE_NONCAV_After1hour,Vehicle_Count_BEV_After1hour,Vehicle_Count_BEV_NONCAV_After1hour,Vehicle_Count_PHEV_After1hour,Vehicle_Count_PHEV_NONCAV_After1hour,Vehicle_Count_HFCV_After1hour,Vehicle_Count_HFCV_NONCAV_After1hour,number_of_vehicles_left_in_the_network,MPG_ICE,MPG_ICE_NONCAV,MPG_BEV,MPG_BEV_NONCAV,MPG_PHEV,MPG_PHEV_NONCAV,MPG_HFCV,MPG_HFCV_NONCAV,MPGe_ICE,MPGe_ICE_NONCAV,MPGe_BEV,MPGe_BEV_NONCAV,MPGe_PHEV,MPGe_PHEV_NONCAV,MPGe_HFCV,MPGe_HFCV_NONCAV
2.02308E+13,50,0,0,0,2030,384.9,1875.1,5925.28,6562.85,1481.32,16987,0,383.254,0,392.779,0,387.581,0,375.836,0,0.147995,0,0,0,2.89E-06,0,0,0,0,0,1.30179,0,1.43827,0,1.47112,0,12670,0,2114,0,2057,0,146,124.518,367.443,435.814,91.8609,1713,0,252.786,0,249.574,0,248.333,0,256.545,0,0.096153,0,0,0,1.07E-06,0,0,0,0,0,0.813728,0,0.936891,0,1.04718,0,1295,0,216,0,180,0,22,0,0,34.3046,0,0,0,2327.2,0,0,0,0,0,137.527,0,122.86,0,122.086
2.02308E+13,50,0,10,0,2030,382.97,1888.94,5895.63,6611.3,1473.91,17200,412.752,379.291,433.889,382.777,433.155,376.496,405.071,345.795,0.159453,0.146628,0,0,1.30E-06,1.93E-06,0,0,0,0,1.15243,1.27334,1.34177,1.40475,1.03481,1.36426,1309,11459,207,1915,226,1899,14,171,125.029,391.665,437.6,97.9162,1777,273.441,246.896,286.214,253.409,264.962,233.717,331.333,215.444,0.102461,0.0939375,0,0,0,4.88E-07,0,0,0,0,0.790855,0.858247,0.801356,0.87466,0.781575,0.757732,143,1175,28,193,26,191,3,18,0,34.0177,34.174,0,0,894.248,1527.89,0,0,0,0,146.162,137.742,127.396,121.495,137.322,119.451
2.02308E+13,50,0,20,0,2030,386.309,1914.08,5879.13,6699.27,1469.78,17236,409.161,379.561,418.878,389.987,399.534,378.989,403.324,372.15,0.159289,0.146744,0,0,6.65E-07,3.10E-06,0,0,0,0,1.19725,1.29139,1.27221,1.41974,1.01321,1.39316,2569,10255,393,1684,429,1719,34,153,128.885,376.928,451.098,94.2319,1802,280.539,243.131,310.075,232.13,307.5,231.847,481.5,272.25,0.104038,0.0937537,0,0,0,2.76E-06,0,0,0,0,0.864121,0.753199,0.885394,0.850428,1.06092,0.981534,280,1064,40,177,48,177,4,12,0,33.9705,34.1569,0,0,542.302,2227,0,0,0,0,142.028,137.586,125.544,121.781,134.042,119.636
2.02308E+13,50,0,30,0,2030,388.995,1927.84,5710.96,6747.44,1427.74,17141,403.057,381.038,430.328,373.582,408.265,392.035,363.143,387.215,0.156278,0.147571,0,0,4.80E-07,2.07E-06,0,0,0,0,1.19941,1.24748,1.29878,1.46366,1.12682,1.47547,3861,8975,616,1463,582,1474,49,121,133.931,384.819,468.758,96.2046,1774,278.097,261.28,294.811,229.218,281.532,246.963,129,243.571,0.104877,0.0992986,0,0,0,2.40E-06,0,0,0,0,0.832675,0.762024,0.836588,0.949858,0.284704,1.2649,423,902,90,142,47,161,2,7,0,33.7641,34.107,0,0,324.323,1632.03,0,0,0,0,142.507,137.833,126.883,121.407,128.66,118.004
2.02308E+13,50,0,40,0,2030,397.403,1939.51,5678.23,6788.29,1419.56,17008,418.459,379.757,451.056,381.572,433.31,379.453,408.101,353,0.161124,0.147403,0,0,1.01E-06,2.36E-06,0,0,0,0,1.22488,1.23536,1.3457,1.43091,1.19283,1.35888,5069,7617,827,1239,819,1267,69,101,142.762,433.479,499.666,108.37,1832,313.886,250.811,310.644,282.047,344.121,249.871,182.2,163.167,0.115214,0.0970445,0,0,0,7.06E-07,0,0,0,0,0.824822,0.909784,1.00011,1.00978,0.65091,0.589431,572,792,101,127,91,132,5,12,0,33.6765,34.0537,0,0,485.939,1491.72,0,0,0,0,144.083,138.637,125.991,120.58,135.553,119.811
2.02308E+13,50,0,50,0,2030,397.006,1950.56,5483.3,6826.97,1370.82,17033,408.804,379.554,443.248,380.294,424.994,375.184,377.244,370.512,0.157742,0.147466,0,0,6.77E-07,1.70E-06,0,0,0,0,1.19135,1.25823,1.33893,1.39421,1.05715,1.28865,6403,6378,1063,978,1032,1005,90,84,147.524,412.725,516.336,103.181,1852,304.756,262.652,311.434,245.323,337.148,248.235,292.857,168.5,0.113033,0.10172,0,0,1.01E-06,0,0,0,0,0,0.792072,0.767161,1.0201,0.864097,0.680557,0.403329,713,658,136,93,122,119,7,4,0,33.6862,34.1308,0,0,451.732,1350.01,0,0,0,0,145.408,138.082,125.837,122.662,131.563,125.552
2.02308E+13,50,0,60,0,2030,399.649,1986.49,5536.11,6952.7,1384.03,17237,408.078,380.37,447.151,376.954,420.056,377.611,366.991,288.299,0.157319,0.14738,0,0,1.84E-06,2.89E-06,0,0,0,0,1.21696,1.26013,1.34945,1.37771,1.1245,1.13448,7794,5159,1182,813,1265,845,112,67,134.119,403.716,469.416,100.929,1819,280.046,236.455,324.68,231.682,285.092,242.863,290.429,126.333,0.105492,0.0908738,0,0,1.33E-06,1.32E-06,0,0,0,0,0.871338,0.77072,0.855233,0.899012,0.789176,0.476889,826,517,153,88,152,73,7,3,0,33.4705,34.0392,0,0,1169.41,1900.18,0,0,0,0,143.61,137.182,125.061,122.22,125.776,122.3
2.02308E+13,50,0,70,0,2030,410.319,2022.04,5665.46,7077.15,1416.37,17264,416.659,380.32,441.777,382.758,441.878,392.266,362.874,375.196,0.160319,0.147705,0,0,1.13E-06,1.78E-06,0,0,0,0,1.20526,1.30836,1.36438,1.43724,1.03011,1.29284,9060,3856,1456,596,1510,608,127,51,158.27,385.091,553.946,96.2727,1947,297.661,266.276,288.858,201.714,276,247.932,349.938,328.5,0.10963,0.10361,0,0,2.11E-06,0,0,0,0,0,0.773707,0.677913,0.815271,0.896573,0.95277,1.01542,1111,352,169,63,190,44,16,2,0,33.014,33.7318,0,0,580.963,1046.39,0,0,0,0,142.919,118.617,125.44,121.932,129.876,125.257
2.02308E+13,50,0,80,0,2030,418.148,2034.81,5569.19,7121.84,1392.3,17078,420.997,384.862,443.684,384.334,445.961,378.281,419.78,300.231,0.161907,0.149855,0,0,1.27E-06,2.47E-06,0,0,0,0,1.19112,1.26953,1.36103,1.42723,1.28725,1.10834,10227,2529,1695,401,1629,430,141,26,158.914,440.288,556.197,110.072,1941,310.792,253.436,338.651,327.395,330.027,216.056,287.522,253.333,0.11285,0.0975613,0,0,1.02E-06,0,0,0,0,0,0.817392,1.11966,0.922865,0.789861,0.883986,1.34485,1186,257,212,38,186,36,23,3,0,33.1916,33.9724,0,0,697.575,1831.74,0,0,0,0,142.664,136.842,124.893,119.805,127.797,114.157
2.02308E+13,50,0,90,0,2030,439.153,2120.74,5800.5,7422.58,1450.13,17253,437.202,399.544,472.134,390.895,453.417,405.359,436.007,448,0.166178,0.154152,0,0,1.38E-06,4.96E-06,0,0,0,0,1.23579,1.26631,1.38029,1.51196,1.32858,1.43589,11593,1260,1897,191,1919,231,152,10,178.394,515.28,624.38,128.82,2075,325.269,287.59,369.731,298.842,336.388,331.385,397.786,0,0.117944,0.111006,0,0,7.63E-07,3.58E-06,0,0,0,0,0.85973,0.997536,0.961574,1.17827,1.04746,0,1377,144,245,19,250,26,14,0,0,32.669,33.4218,0,0,933.809,4414.37,0,0,0,0,143.032,136.659,124.232,119.908,127.054,118.931
2.02308E+13,50,0,100,0,2030,441.535,2156.16,5748.24,7546.57,1437.06,17411,437.041,0,456.04,0,452.81,0,462.829,0,0.165999,0,0,0,1.37E-06,0,0,0,0,0,1.23953,0,1.3561,0,1.32935,0,12989,0,2091,0,2156,0,175,0,175.281,514.782,613.483,128.695,2108,315.615,0,337.809,0,347.923,0,317.7,0,0.112721,0,0,0,9.88E-07,0,0,0,0,0,0.846846,0,1.00794,0,0.858906,0,1555,0,246,0,287,0,20,0,0,32.9009,0,0,0,915.318,0,0,0,0,0,141.342,0,124.456,0,124.777,0
2.02308E+13,50,5,0,0,2030,384.9,1875.1,5925.28,6562.85,1481.32,16987,0,383.254,0,392.779,0,387.581,0,375.836,0,0.147995,0,0,0,2.89E-06,0,0,0,0,0,1.30179,0,1.43827,0,1.47112,0,12670,0,2114,0,2057,0,146,124.518,367.443,435.814,91.8609,1713,0,252.786,0,249.574,0,248.333,0,256.545,0,0.096153,0,0,0,1.07E-06,0,0,0,0,0,0.813728,0,0.936891,0,1.04718,0,1295,0,216,0,180,0,22,0,0,34.3046,0,0,0,2327.2,0,0,0,0,0,137.527,0,122.86,0,122.086
2.02308E+13,50,5,10,0,2030,380.941,1884.14,5876.66,6594.49,1469.17,17200,398.544,378.85,408.15,384.63,402.243,374.884,402.643,349.415,0.155024,0.146715,0,0,4.44E-07,2.54E-06,0,0,0,0,1.1176,1.27553,1.29496,1.40133,1.04039,1.3703,1309,11459,207,1915,226,1899,14,171,119.757,386.263,419.149,96.5659,1734,243.596,244.295,249.56,253.047,220.455,249.781,330.667,262.471,0.0941134,0.0929254,0,0,0,1.56E-06,0,0,0,0,0.717141,0.851002,0.671656,0.923738,0.772089,0.838802,136,1151,25,193,22,187,3,17,0,34.1805,34.1865,0,0,459.614,1905.18,0,0,0,0,145.797,137.812,127.663,121.534,136.913,119.762
2.02308E+13,50,5,20,0,2030,383.55,1905.1,5857.66,6667.84,1464.42,17236,397.775,379.636,395.659,390.006,375.527,378.86,402.235,375.935,0.15533,0.14686,0,0,0,3.28E-06,0,0,0,0,1.15969,1.2913,1.22093,1.42748,1.03502,1.40227,2569,10255,393,1684,429,1719,34,153,130.475,377.707,456.664,94.4267,1812,273.688,245.691,268.8,239.631,269.13,230.209,466,294.154,0.102198,0.0944749,0,0,0,2.67E-06,0,0,0,0,0.782025,0.777191,0.846273,0.864421,1.05259,1.15979,282,1076,35,179,46,177,4,13,0,34.1363,34.1589,0,0,0,2613.04,0,0,0,0,142.307,137.573,126.483,121.47,132.224,120.235
2.02308E+13,50,5,30,0,2030,384.241,1911.02,5664.07,6688.59,1416.02,17141,390.565,380.122,410.362,374.593,386.534,390.783,369.959,386.669,0.152704,0.147235,0,0,6.61E-07,2.69E-06,0,0,0,0,1.15792,1.24719,1.26111,1.46455,1.12418,1.47394,3861,8975,616,1463,582,1474,49,121,126.73,359.811,443.553,89.9527,1734,259.396,255.128,289.762,225.695,245,238.025,137,241.714,0.099754,0.097017,0,0,0,2.92E-06,0,0,0,0,0.794063,0.733639,0.797191,0.902729,0.324747,1.21364,399,896,84,141,43,162,2,7,0,33.9162,34.1101,0,0,589.948,2321.13,0,0,0,0,143.05,137.834,127.626,121.319,128.836,117.804
2.02308E+13,50,5,40,0,2030,388.463,1912.82,5592.99,6694.86,1398.25,17008,398.291,379.632,424.347,379.279,401.331,381.052,406.899,356,0.155994,0.147312,0,0,7.98E-07,2.77E-06,0,0,0,0,1.18433,1.23666,1.28469,1.42851,1.19446,1.35472,5069,7617,827,1239,819,1267,69,101,136.317,421.306,477.109,105.327,1822,281.211,244.607,309.724,255.302,320.602,258.812,202.2,189,0.106131,0.0957577,0,0,0,2.24E-06,0,0,0,0,0.816499,0.8641,0.947422,1.05047,0.679779,0.733931,559,804,98,129,83,133,5,11,0,33.8989,34.0341,0,0,389.488,1796,0,0,0,0,144.196,138.707,126.986,120.587,134.851,120.552
2.02308E+13,50,5,50,0,2030,386.898,1912.51,5385.67,6693.77,1346.42,17033,393.48,378.018,413.069,380.245,395.336,373.606,375.444,373.44,0.152663,0.146598,0,0,1.06E-06,2.28E-06,0,0,0,0,1.15019,1.26505,1.28189,1.39197,1.0643,1.28774,6403,6378,1063,978,1032,1005,90,84,142.59,390.229,499.064,97.5573,1813,295.983,261.685,294.45,265.747,326.845,247.579,221.5,220.667,0.110151,0.101361,0,0,0,0,0,0,0,0,0.755064,0.836789,0.961404,0.824744,0.60153,0.584001,689,658,129,91,116,121,6,3,0,33.9606,34.1781,0,0,816.704,2034.45,0,0,0,0,145.168,137.942,126.768,122.724,131.715,127.099
2.02308E+13,50,5,60,0,2030,387.865,1946.06,5426.95,6811.21,1356.74,17237,393.157,377.932,413.565,373.424,396.802,374.283,373.982,284.672,0.152434,0.146925,0,0,8.51E-07,2.22E-06,0,0,0,0,1.17456,1.25868,1.29329,1.38859,1.15618,1.14086,7794,5159,1182,813,1265,845,112,67,130.124,392.917,455.433,98.2291,1801,268.279,234.512,305.315,226.709,269.477,229.868,235.5,85.3333,0.102014,0.0916039,0,0,0,0,0,0,0,0,0.840489,0.797878,0.831144,0.88106,0.661202,0.437767,814,514,149,86,151,76,8,3,0,33.9325,34.1361,0,0,551.345,1628.27,0,0,0,0,143.546,137.006,126.002,122.254,124.644,122.866
