Time,Demand_Percentage(%),Prediction_Horizon(min),CAV_Penetration(%),Eco_Routing_with_Travel_Time(0/1),Vehicle_Fleet,Overall_Travel_Time_Avg(s),Overall_Fuel_Used(gallon),Overall_Electricity_Used(kWh),Overall_Fuel_Cost($),Overall_Electricity_Cost($),Total_Number_of_Vehicles,Travel_Time_ICE_Avg(s),Travel_Time_ICE_NONCAV_Avg(s),Travel_Time_BEV_Avg(s),Travel_Time_BEV_NONCAV_Avg(s),Travel_Time_PHEV_Avg(s),Travel_Time_PHEV_NONCAV_Avg(s),Travel_Time_HFCV_Avg(s),Travel_Time_HFCV_NONCAV_Avg(s),Fuel_Used_ICE_Avg(gallon),Fuel_Used_ICE_NONCAV_Avg(gallon),Fuel_Used_BEV_Avg(gallon),Fuel_Used_BEV_NONCAV_Avg(gallon),Fuel_Used_PHEV_Avg(gallon),Fuel_Used_PHEV_NONCAV_Avg(gallon),Fuel_Used_HFCV_Avg(gallon),Fuel_Used_HFCV_NONCAV_Avg(gallon),Electricity_Used_ICE_Avg(kWh),Electricity_Used_ICE_NONCAV_Avg(kWh),Electricity_Used_BEV_Avg(kWh),Electricity_Used_BEV_NONCAV_Avg(kWh),Electricity_Used_PHEV_Avg(kWh),Electricity_Used_PHEV_NONCAV_Avg(kWh),Electricity_Used_HFCV_Avg(kWh),Electricity_Used_HFCV_NONCAV_Avg(kWh),Vehicle_Count_ICE,Vehicle_Count_ICE_NONCAV,Vehicle_Count_BEV,Vehicle_Count_BEV_NONCAV,Vehicle_Count_PHEV,Vehicle_Count_PHEV_NONCAV,Vehicle_Count_HFCV,Vehicle_Count_HFCV_NONCAV,Overall_Fuel_Used(gallon)_After1hour,Overall_Electricity_Used(kWh)_After1hour,Overall_Fuel_Cost($)_After1hour,Overall_Electricity_Cost($)_After1hour,Total_Number_of_Vehicles_After1hour,Travel_Time_ICE_Avg(s)_After1hour,Travel_Time_ICE_NONCAV_Avg(s)_After1hour,Travel_Time_BEV_Avg(s)_After1hour,Travel_Time_BEV_NONCAV_Avg(s)_After1hour,Travel_Time_PHEV_Avg(s)_After1hour,Travel_Time_PHEV_NONCAV_Avg(s)_After1hour,Travel_Time_HFCV_Avg(s)_After1hour,Travel_Time_HFCV_NONCAV_Avg(s)_After1hour,Fuel_Used_ICE_Avg(gallon)_After1hour,Fuel_Used_ICE_NONCAV_Avg(gallon)_After1hour,Fuel_Used_BEV_Avg(gallon)_After1hour,Fuel_Used_BEV_NONCAV_Avg(gallon)_After1hour,Fuel_Used_PHEV_Avg(gallon)_After1hour,Fuel_Used_PHEV_NONCAV_Avg(gallon)_After1hour,Fuel_Used_HFCV_Avg(gallon)_After1hour,Fuel_Used_HFCV_NONCAV_Avg(gallon)_After1hour,Electricity_Used_ICE_Avg(kWh)_After1hour,Electricity_Used_ICE_NONCAV_Avg(kWh)_After1hour,Electricity_Used_BEV_Avg(kWh)_After1hour,Electricity_Used_BEV_NONCAV_Avg(kWh)_After1hour,Electricity_Used_PHEV_Avg(kWh)_After1hour,Electricity_Used_PHEV_NONCAV_Avg(kWh)_After1hour,Electricity_Used_HFCV_Avg(kWh)_After1hour,Electricity_Used_HFCV_NONCAV_Avg(kWh)_After1hour,Vehicle_Count_ICE_After1hour,Vehicle_Count_ICE_NONCAV_After1hour,Vehicle_Count_BEV_After1hour,Vehicle_Count_BEV_NONCAV_After1hour,Vehicle_Count_PHEV_After1hour,Vehicle_Count_PHEV_NONCAV_After1hour,Vehicle_Count_HFCV_After1hour,Vehicle_Count_HFCV_NONCAV_After1hour,number_of_vehicles_left_in_the_network
2.02308E+13,100,5,0,0,2030,799.776,6028.51,12454.2,21099.8,3113.55,34881,0,800.294,0,788.986,0,805.609,0,820.632,0,0.230464,0,0,0,7.58E-06,0,0,0,0,0,1.32946,0,1.53071,0,1.38331,0,26158,0,4200,0,4164,0,359,1389.35,2132.43,4862.73,533.107,8022,0,974.667,0,918.242,0,973.676,0,1004.03,0,0.230444,0,0,0,2.92E-06,0,0,0,0,0,1.00069,0,1.14256,0,1.0482,0,6029,0,962,0,944,0,87,164
2.02308E+13,100,5,10,0,2030,809.115,6083.52,12668.6,21292.3,3167.15,34939,778.017,812.238,718.127,815.399,775.174,817.348,813.886,823.343,0.232723,0.233573,0,0,3.75E-06,6.85E-06,0,0,0,0,1.24571,1.33074,1.32909,1.55018,1.02584,1.4576,2642,23413,403,3809,438,3881,35,318,1310.29,2355.37,4586.03,588.843,8386,717.168,860.273,761.027,886.808,1052.15,821.759,850.889,914.029,0.194233,0.211624,0,0,2.40E-06,6.15E-06,0,0,0,0,1.03794,1.00682,1.01792,1.19676,0.74083,1.17431,650,5595,75,913,89,986,9,69,217
2.02308E+13,100,5,20,0,2030,795.36,6076.9,12654.8,21269.1,3163.69,35021,778.218,789.255,871.678,807.184,817.589,824.944,847.986,767.264,0.234156,0.230991,0,0,5.30E-06,8.32E-06,0,0,0,0,1.28424,1.35097,1.39224,1.58886,1.21029,1.4281,5165,21072,833,3427,815,3354,71,284,1256.72,2175.32,4398.53,543.831,8660,740.334,776.645,852.5,780.488,747.675,838.958,568.87,835.632,0.19564,0.193296,0,0,5.02E-06,5.52E-06,0,0,0,0,0.874935,0.933046,0.888553,1.11903,0.705173,1.15502,1279,5207,200,830,206,839,23,76,105
2.02308E+13,100,5,30,0,2030,781.032,6110.38,12632.1,21386.3,3158.02,35168,767.764,779.767,798.459,796.541,852.295,772.653,779.179,753.352,0.232605,0.23152,0,0,5.84E-06,6.79E-06,0,0,0,0,1.2823,1.38705,1.44118,1.55365,1.11655,1.40707,7958,18397,1196,3029,1296,2942,117,233,1155.52,2309.8,4044.32,577.45,8143,692.984,755.345,823.935,765.186,790.776,760.15,521,577.246,0.186748,0.195373,0,0,3.70E-06,6.46E-06,0,0,0,0,0.972478,1.04464,0.950646,1.23703,0.695873,1.02426,1758,4234,306,725,353,673,29,65,103
2.02308E+13,100,5,40,0,2030,810.031,6270.69,12560.4,21947.4,3140.11,35003,812.772,796.374,881.411,817.236,851.02,799.927,865.531,787.075,0.243831,0.236207,0,0,6.15E-06,7.32E-06,0,0,0,0,1.25113,1.38695,1.43658,1.6002,1.25061,1.43666,10390,15822,1715,2597,1662,2475,143,199,1257.62,2261.63,4401.68,565.409,8492,743.53,768.106,837.763,791.721,802.614,766.148,778.021,802.104,0.199418,0.200655,0,0,5.18E-06,6.63E-06,0,0,0,0,0.875935,0.99524,0.99505,1.19484,0.909787,1.0927,2508,3775,481,584,448,601,47,48,70
2.02308E+13,100,5,50,0,2030,861.479,6499.14,12839.9,22747,3209.98,35198,863.158,838.578,912.04,880.406,901.504,876.718,932.552,829.627,0.25151,0.243421,0,0,5.25E-06,7.52E-06,0,0,0,0,1.27787,1.42241,1.42773,1.62967,1.27142,1.5051,13214,13046,2129,2178,2184,2111,183,153,1360.64,2568.03,4762.25,642.008,9071,795.221,775.145,883.234,812.265,911.083,757.675,1066.62,775.537,0.207098,0.202086,0,0,4.34E-06,4.55E-06,0,0,0,0,0.918922,1.057,1.11771,1.14225,1.06063,1.20799,3305,3346,578,592,629,532,48,41,38
2.02308E+13,100,5,60,0,2030,881.195,6721.54,12875.9,23525.4,3218.97,35572,899.476,841.932,943.052,854.125,916.069,842.424,858.404,868.758,0.259193,0.245746,0,0,6.35E-06,7.30E-06,0,0,0,0,1.2579,1.42753,1.44604,1.60206,1.23341,1.52564,15889,10593,2537,1738,2639,1784,235,157,1561.11,2670.41,5463.89,667.602,9441,817.563,899.358,973.412,881.929,946.559,892.535,799.431,903.447,0.217325,0.230422,0,0,4.35E-06,6.40E-06,0,0,0,0,0.960236,1.13991,1.1101,1.28378,0.963511,1.32566,4293,2726,725,450,706,445,58,38,87
2.02308E+13,100,5,70,0,2030,905.188,6728.69,12383.9,23550.4,3095.99,35367,898.007,846.947,1035.73,845.509,1034.85,821.351,979.851,785.321,0.256974,0.245324,0,0,5.14E-06,6.81E-06,0,0,0,0,1.28274,1.35425,1.47022,1.59847,1.2421,1.42306,18693,7847,2937,1267,2976,1292,249,106,1527.99,2704.36,5347.95,676.09,9685,793.706,875.028,1069.87,933.635,1103.06,896.251,1295.43,948.667,0.210004,0.222157,0,0,4.22E-06,4.48E-06,0,0,0,0,0.95311,1.05042,1.12879,1.24489,1.1841,1.13532,5156,2004,907,323,905,303,63,24,269
2.02308E+13,100,5,80,0,2030,1031.94,7202.81,11939.1,25209.8,2984.78,35151,1033.57,915.288,1138.34,891.312,1146.03,909.148,1193.64,924.091,0.278547,0.255853,0,0,5.43E-06,5.90E-06,0,0,0,0,1.24035,1.35712,1.40624,1.59096,1.15974,1.17925,21072,5211,3412,817,3443,854,276,66,1920.14,2932.95,6720.5,733.236,10232,987.555,1024.06,1364.98,1014.51,1415.84,942.587,1649.6,1086.53,0.253992,0.264371,0,0,4.41E-06,7.79E-06,0,0,0,0,0.959919,1.20159,1.10788,1.4161,0.98104,0.87227,6163,1342,1095,206,1100,225,82,19,836
2.02308E+13,100,5,90,0,2030,1033.99,7363.25,12481.8,25771.4,3120.45,35630,1028.76,905.728,1122.92,936.272,1089.85,911.517,1027.73,868.154,0.278714,0.255104,0,0,6.40E-06,6.78E-06,0,0,0,0,1.28164,1.42383,1.47484,1.64115,1.20289,1.54546,24026,2614,3850,419,3934,441,320,26,1898.86,3125.2,6645.99,781.301,10971,923.208,905.547,1172.09,990.161,1168.92,870.429,1142.49,825.5,0.233292,0.230291,0,0,5.77E-06,4.18E-06,0,0,0,0,0.990154,1.09817,1.21262,1.25922,0.987926,1.78222,7399,750,1229,118,1259,119,89,8,217
2.02308E+13,100,5,100,0,2030,1142.65,7691.8,11632.3,26921.3,2908.07,35102,1132.41,0,1173.26,0,1177.37,0,1126.73,0,0.292274,0,0,0,5.96E-06,0,0,0,0,0,1.23237,0,1.42648,0,1.18842,0,26317,0,4194,0,4233,0,358,0,2192.06,2589.62,7672.22,647.405,10946,1206.83,0,1490.05,0,1402.89,0,1387.66,0,0.265898,0,0,0,2.33E-06,0,0,0,0,0,0.88382,0,1.03006,0,0.925815,0,8244,0,1244,0,1346,0,112,0,1669
2.02308E+13,100,10,0,0,2030,799.776,6028.51,12454.2,21099.8,3113.55,34881,0,800.294,0,788.986,0,805.609,0,820.632,0,0.230464,0,0,0,7.58E-06,0,0,0,0,0,1.32946,0,1.53071,0,1.38331,0,26158,0,4200,0,4164,0,359,1389.35,2132.43,4862.73,533.107,8022,0,974.667,0,918.242,0,973.676,0,1004.03,0,0.230444,0,0,0,2.92E-06,0,0,0,0,0,1.00069,0,1.14256,0,1.0482,0,6029,0,962,0,944,0,87,164
2.02308E+13,100,10,10,0,2030,804.668,6085.76,12665.5,21300.1,3166.38,34887,760.881,809.311,788.54,806.855,769.92,808.932,867.441,809.013,0.231559,0.234289,0,0,4.91E-06,7.26E-06,0,0,0,0,1.24322,1.33124,1.36427,1.54652,1.00948,1.45437,2632,23374,402,3809,437,3881,34,318,1276.95,2218.95,4469.34,554.738,8325,701.21,829.864,1039.6,864.827,896.812,801.103,973.375,801.616,0.190327,0.206814,0,0,2.03E-06,5.32E-06,0,0,0,0,0.981009,0.977207,1.01856,1.14015,0.871117,1.0414,610,5613,80,883,96,962,8,73,202
